EBITDAMargin,accumulatedOtherComprehensiveIncome,accumulatedRetainedEarningsDeficit,assetTurnover,assets,assetsAverage,assetsCurrent,assetsNonCurrent,averageEquity,bookValuePerShare,calendarDate,capitalExpenditure,cashAndEquivalents,cashAndEquivalentsUSD,consolidatedIncome,costOfRevenue,currentLiabilities,currentRatio,dateKey,debt,debtCurrent,debtNonCurrent,debtToEquityRatio,debtUSD,deferredRevenue,deposits,depreciationAmortizationAndAccretion,dividendYield,dividendsPerBasicCommonShare,earningBeforeInterestTaxes,earningBeforeInterestTaxesUSD,earningsBeforeInterestTaxesDepreciationAmortization,earningsBeforeInterestTaxesDepreciationAmortizationUSD,earningsBeforeTax,earningsPerBasicShare,earningsPerBasicShareUSD,earningsPerDilutedShare,effectOfExchangeRateChangesOnCash,enterpriseValue,enterpriseValueOverEBIT,enterpriseValueOverEBITDA,foreignCurrencyUSDExchangeRate,freeCashFlow,freeCashFlowPerShare,goodwillAndIntangibleAssets,grossMargin,grossProfit,incomeTaxExpense,interestExpense,inventory,investedCapital,investedCapitalAverage,investments,investmentsCurrent,investmentsNonCurrent,issuanceDebtSecurities,issuanceEquityShares,liabilitiesNonCurrent,marketCapitalization,netCashFlow,netCashFlowBusinessAcquisitionsDisposals,netCashFlowFromFinancing,netCashFlowFromInvesting,netCashFlowFromOperations,netCashFlowInvestmentAcquisitionsDisposals,netIncome,netIncomeCommonStock,netIncomeCommonStockUSD,netIncomeToNonControllingInterests,netLossIncomeFromDiscontinuedOperations,operatingExpenses,operatingIncome,paymentDividendsOtherCashDistributions,payoutRatio,period,preferredDividendsIncomeStatementImpact,priceEarnings,priceSales,priceToBookValue,priceToEarningsRatio,priceToSalesRatio,profitMargin,propertyPlantEquipmentNet,reportPeriod,researchAndDevelopmentExpense,returnOnAverageAssets,returnOnAverageEquity,returnOnInvestedCapital,returnOnSales,revenues,revenuesUSD,salesPerShare,sellingGeneralAndAdministrativeExpense,shareBasedCompensation,shareFactor,sharePriceAdjustedClose,shareholdersEquity,shareholdersEquityUSD,shares,tangibleAssetValue,tangibleAssetsBookValuePerShare,taxAssets,taxLiabilities,ticker,totalLiabilities,tradeAndNonTradePayables,tradeAndNonTradeReceivables,updated,weightedAverageShares,weightedAverageSharesDiluted,workingCapital
0.468,-255000000.0,30739000000.0,,282794000000.0,,167074000000.0,115720000000.0,,14.448,2019-12-31,-3545000000.0,134253000000.0,134253000000.0,11649000000.0,12358000000.0,59640000000.0,2.801,2020-01-29,76780000000.0,6247000000.0,70533000000.0,1.568,76780000000.0,31221000000.0,0.0,3203000000.0,0.011,0.51,14085000000.0,14085000000.0,17288000000.0,17288000000.0,14085000000.0,1.53,1.53,1.51,18000000.0,1220647139560.0,24.0,19.727,1,7135000000.0,0.936,49374000000.0,0.665,24548000000.0,2436000000.0,0.0,1823000000.0,116307000000.0,,2755000000.0,0.0,2755000000.0,-18000000.0,-4972000000.0,113045000000.0,1278120139560.0,-4253000000.0,-80000000.0,-8915000000.0,-6036000000.0,10680000000.0,-2411000000.0,11649000000.0,11649000000.0,11649000000.0,0.0,0.0,10657000000.0,13891000000.0,-3886000000.0,0.333,Q,0.0,28.836,9.521,11.608,28.972,9.539,0.316,48961000000.0,2019-12-31,4603000000.0,,,,,36906000000.0,36906000000.0,4.843,6054000000.0,1340000000.0,1.0,168.04,110109000000.0,110109000000.0,7606047010.0,233420000000.0,30.629,0.0,31663000000.0,MSFT,172685000000.0,8811000000.0,23525000000.0,2020-01-29,7621000000.0,7691000000.0,107434000000.0
0.474,-61000000.0,27240000000.0,,278955000000.0,,165896000000.0,113059000000.0,,13.893,2019-09-30,-3385000000.0,136636000000.0,136636000000.0,10678000000.0,10406000000.0,58118000000.0,2.854,2019-10-23,76154000000.0,3017000000.0,73137000000.0,1.63,76154000000.0,34026000000.0,0.0,2971000000.0,0.013,0.46,12686000000.0,12686000000.0,15657000000.0,15657000000.0,12686000000.0,1.4,1.4,1.38,-72000000.0,986495283010.0,21.0,17.018,1,10433000000.0,1.367,49621000000.0,0.685,22649000000.0,2008000000.0,0.0,2622000000.0,110734000000.0,,2684000000.0,0.0,2684000000.0,-2500000000.0,-4485000000.0,114776000000.0,1046977283010.0,1761000000.0,-462000000.0,-10209000000.0,-1776000000.0,13818000000.0,2071000000.0,10678000000.0,10678000000.0,10678000000.0,0.0,0.0,9963000000.0,12686000000.0,-3510000000.0,0.329,Q,0.0,25.478,8.065,9.871,25.604,8.071,0.323,46299000000.0,2019-09-30,4565000000.0,,,,,33055000000.0,33055000000.0,4.33,5398000000.0,1262000000.0,1.0,137.24,106061000000.0,106061000000.0,7628805618.0,229334000000.0,30.041,0.0,32131000000.0,MSFT,172894000000.0,8574000000.0,19087000000.0,2020-01-29,7634000000.0,7710000000.0,107778000000.0
0.46,-340000000.0,24150000000.0,,286556000000.0,,175552000000.0,111004000000.0,,13.368,2019-06-30,-4051000000.0,133819000000.0,133819000000.0,13187000000.0,10412000000.0,69420000000.0,2.529,2019-08-01,78366000000.0,5516000000.0,72850000000.0,1.8,78366000000.0,37206000000.0,0.0,2924000000.0,0.013,0.46,12596000000.0,12596000000.0,15520000000.0,15520000000.0,12596000000.0,1.72,1.72,1.7,-21000000.0,998691621760.0,23.0,18.037,1,12057000000.0,1.575,49776000000.0,0.691,23305000000.0,-591000000.0,0.0,2063000000.0,111907000000.0,,2649000000.0,0.0,2649000000.0,-1000000000.0,-4325000000.0,114806000000.0,1054144621760.0,144000000.0,-281000000.0,-8686000000.0,-7257000000.0,16108000000.0,-2925000000.0,13187000000.0,13187000000.0,13187000000.0,0.0,0.0,10900000000.0,12405000000.0,-3521000000.0,0.267,Q,0.0,26.864,8.377,10.301,27.018,8.418,0.391,43856000000.0,2019-06-30,4513000000.0,,,,,33717000000.0,33717000000.0,4.405,6387000000.0,1190000000.0,1.0,138.06,102330000000.0,102330000000.0,7635409400.0,236780000000.0,30.931,0.0,35510000000.0,MSFT,184226000000.0,9382000000.0,29524000000.0,2020-01-29,7655000000.0,7735000000.0,106132000000.0
0.439,-1265000000.0,18338000000.0,,263281000000.0,,159887000000.0,103394000000.0,,12.365,2019-03-31,-2565000000.0,131618000000.0,131618000000.0,8809000000.0,10170000000.0,53861000000.0,2.969,2019-04-24,79072000000.0,6515000000.0,72557000000.0,1.775,79072000000.0,28135000000.0,0.0,2926000000.0,0.014,0.46,10486000000.0,10486000000.0,13412000000.0,13412000000.0,10486000000.0,1.15,1.15,1.14,18000000.0,905382868179.0,22.0,17.068,1,10955000000.0,1.428,49964000000.0,0.667,20401000000.0,1677000000.0,0.0,1951000000.0,106910000000.0,,2403000000.0,0.0,2403000000.0,0.0,-4479000000.0,114556000000.0,957928868179.0,4574000000.0,-269000000.0,-7601000000.0,-1363000000.0,13520000000.0,1471000000.0,8809000000.0,8809000000.0,8809000000.0,0.0,0.0,10060000000.0,10341000000.0,-3526000000.0,0.4,Q,0.0,27.427,7.838,10.098,27.535,7.848,0.288,40769000000.0,2019-03-31,4316000000.0,,,,,30571000000.0,30571000000.0,3.985,5744000000.0,1172000000.0,1.0,125.01,94864000000.0,94864000000.0,7662817920.0,213317000000.0,27.805,0.0,33302000000.0,MSFT,168417000000.0,7544000000.0,19269000000.0,2020-01-29,7672000000.0,7744000000.0,106026000000.0
0.412,-2013000000.0,16585000000.0,,258859000000.0,,156874000000.0,101985000000.0,,11.977,2018-12-31,-3707000000.0,127662000000.0,127662000000.0,8420000000.0,12423000000.0,50318000000.0,3.118,2019-01-30,78852000000.0,3516000000.0,75336000000.0,1.81,78852000000.0,28084000000.0,0.0,2995000000.0,0.016,0.46,10385000000.0,10385000000.0,13380000000.0,13380000000.0,10385000000.0,1.09,1.09,1.08,17000000.0,767360066385.0,19.0,15.051,1,5193000000.0,0.675,50059000000.0,0.617,20048000000.0,1965000000.0,0.0,1961000000.0,109672000000.0,,2274000000.0,0.0,2274000000.0,-3000000000.0,-6213000000.0,116413000000.0,816170066385.0,-8499000000.0,-1593000000.0,-13216000000.0,-4200000000.0,8900000000.0,1100000000.0,8420000000.0,8420000000.0,8420000000.0,0.0,0.0,9790000000.0,10258000000.0,-3544000000.0,0.422,Q,0.0,24.334,6.89,8.859,24.455,6.908,0.259,39523000000.0,2018-12-31,4070000000.0,,,,,32471000000.0,32471000000.0,4.221,5720000000.0,1183000000.0,1.0,106.38,92128000000.0,92128000000.0,7672213446.0,208800000000.0,27.145,0.0,33256000000.0,MSFT,166731000000.0,7563000000.0,19680000000.0,2020-01-29,7692000000.0,7768000000.0,106556000000.0
0.449,-2615000000.0,17279000000.0,,257619000000.0,,164195000000.0,93424000000.0,,11.204,2018-09-30,-3602000000.0,135880000000.0,135880000000.0,8824000000.0,9905000000.0,56277000000.0,2.918,2018-10-24,81882000000.0,6497000000.0,75385000000.0,1.997,81882000000.0,30242000000.0,0.0,2837000000.0,0.016,0.42,10221000000.0,10221000000.0,13058000000.0,13058000000.0,10221000000.0,1.15,1.15,1.14,-129000000.0,731432701068.0,19.0,14.833,1,10055000000.0,1.31,43434000000.0,0.659,19179000000.0,1397000000.0,0.0,3614000000.0,103910000000.0,,2034000000.0,0.0,2034000000.0,0.0,-3384000000.0,115375000000.0,785430701068.0,3191000000.0,-245000000.0,-7384000000.0,-2953000000.0,13657000000.0,894000000.0,8824000000.0,8824000000.0,8824000000.0,0.0,0.0,9224000000.0,9955000000.0,-3220000000.0,0.365,Q,0.0,41.736,6.835,9.136,41.934,6.833,0.303,38164000000.0,2018-09-30,3977000000.0,,,,,29084000000.0,29084000000.0,3.79,5247000000.0,1107000000.0,1.0,102.32,85967000000.0,85967000000.0,7676218736.0,214185000000.0,27.914,0.0,33254000000.0,MSFT,171652000000.0,8511000000.0,17390000000.0,2020-01-29,7673000000.0,7766000000.0,107918000000.0
0.439,-2187000000.0,13682000000.0,,258848000000.0,,169662000000.0,89186000000.0,,10.768,2018-06-30,-3980000000.0,133768000000.0,133768000000.0,8873000000.0,9742000000.0,58488000000.0,2.901,2018-08-03,81808000000.0,3998000000.0,77810000000.0,2.129,81808000000.0,32720000000.0,0.0,2516000000.0,0.015,0.42,10680000000.0,10680000000.0,13196000000.0,13196000000.0,10680000000.0,1.15,1.15,1.14,16000000.0,776514198821.0,21.0,16.615,1,7438000000.0,0.968,43736000000.0,0.676,20343000000.0,1807000000.0,0.0,2662000000.0,104664000000.0,,1862000000.0,0.0,1862000000.0,-681000000.0,-2107000000.0,117642000000.0,828474198821.0,2725000000.0,-434000000.0,-6039000000.0,-2670000000.0,11418000000.0,1752000000.0,8873000000.0,8873000000.0,8873000000.0,0.0,0.0,9964000000.0,10379000000.0,-3226000000.0,0.365,Q,0.0,49.995,7.507,10.016,50.251,7.538,0.295,36146000000.0,2018-06-30,3933000000.0,,,,,30085000000.0,30085000000.0,3.916,6031000000.0,1012000000.0,1.0,108.04,82718000000.0,82718000000.0,7668217316.0,215112000000.0,28.002,0.0,32927000000.0,MSFT,176130000000.0,8617000000.0,26481000000.0,2020-01-29,7682000000.0,7782000000.0,111174000000.0
0.423,-1153000000.0,9974000000.0,,245497000000.0,,156659000000.0,88838000000.0,,10.293,2018-03-31,-2934000000.0,132270000000.0,132270000000.0,7424000000.0,9269000000.0,46133000000.0,3.396,2018-04-26,82908000000.0,3677000000.0,79231000000.0,2.098,82908000000.0,23955000000.0,0.0,2710000000.0,0.017,0.42,8641000000.0,8641000000.0,11351000000.0,11351000000.0,8641000000.0,0.96,0.96,0.95,25000000.0,674856196633.0,22.0,16.29,1,9217000000.0,1.197,44126000000.0,0.654,17550000000.0,1217000000.0,0.0,2084000000.0,105876000000.0,,2818000000.0,0.0,2818000000.0,-12256000000.0,-3530000000.0,120125000000.0,724218196633.0,-3638000000.0,-248000000.0,-19658000000.0,3844000000.0,12151000000.0,7045000000.0,7424000000.0,7424000000.0,7424000000.0,0.0,0.0,9258000000.0,8292000000.0,-3232000000.0,0.438,Q,0.0,50.962,6.991,9.14,51.228,7.005,0.277,34788000000.0,2018-03-31,3715000000.0,,,,,26819000000.0,26819000000.0,3.484,5543000000.0,969000000.0,1.0,94.26,79239000000.0,79239000000.0,7683197503.0,201371000000.0,26.159,0.0,33900000000.0,MSFT,166258000000.0,7623000000.0,17208000000.0,2020-01-29,7698000000.0,7794000000.0,110526000000.0
0.405,-399000000.0,8567000000.0,,256003000000.0,,167633000000.0,88370000000.0,,10.163,2017-12-31,-2586000000.0,142780000000.0,142780000000.0,-6302000000.0,11064000000.0,58099000000.0,2.885,2018-01-31,94900000000.0,15912000000.0,78988000000.0,2.267,94900000000.0,23809000000.0,0.0,2536000000.0,0.017,0.42,9169000000.0,9169000000.0,11705000000.0,11705000000.0,9169000000.0,-0.82,-0.82,-0.82,-17000000.0,683677318869.0,24.0,17.783,1,5289000000.0,0.686,44389000000.0,0.617,17854000000.0,15471000000.0,0.0,2003000000.0,105635000000.0,,3961000000.0,0.0,3961000000.0,3661000000.0,-1819000000.0,119544000000.0,731557318869.0,5975000000.0,-27000000.0,-1552000000.0,-331000000.0,7875000000.0,2459000000.0,-6302000000.0,-6302000000.0,-6302000000.0,0.0,0.0,9175000000.0,8679000000.0,-3238000000.0,-0.512,Q,0.0,63.131,7.4,9.336,63.34,7.41,-0.218,33053000000.0,2017-12-31,3504000000.0,,,,,28918000000.0,28918000000.0,3.751,5671000000.0,986000000.0,1.0,95.01,78360000000.0,78360000000.0,7699792852.0,211614000000.0,27.447,0.0,34024000000.0,MSFT,177643000000.0,7876000000.0,18428000000.0,2020-01-29,7710000000.0,7710000000.0,109534000000.0
0.427,526000000.0,19702000000.0,,249097000000.0,,161031000000.0,88066000000.0,,11.63,2017-09-30,-2132000000.0,138471000000.0,138471000000.0,6576000000.0,8278000000.0,51615000000.0,3.12,2017-10-26,91243000000.0,9220000000.0,82023000000.0,1.779,91243000000.0,24904000000.0,0.0,2499000000.0,0.02,0.39,7984000000.0,7984000000.0,10483000000.0,10483000000.0,7984000000.0,0.85,0.85,0.84,26000000.0,560373123758.0,22.0,15.889,1,10308000000.0,1.337,44987000000.0,0.663,16260000000.0,1408000000.0,0.0,3211000000.0,105267000000.0,,5343000000.0,0.0,5343000000.0,-925000000.0,-2263000000.0,107835000000.0,607601123758.0,-779000000.0,-179000000.0,-6341000000.0,-6904000000.0,12440000000.0,-4699000000.0,6576000000.0,6576000000.0,6576000000.0,0.0,0.0,8552000000.0,7708000000.0,-3003000000.0,0.459,Q,0.0,26.314,6.461,6.778,26.341,6.456,0.268,31653000000.0,2017-09-30,3574000000.0,,,,,24538000000.0,24538000000.0,3.183,4978000000.0,973000000.0,1.0,78.76,89647000000.0,89647000000.0,7714590195.0,204110000000.0,26.48,0.0,6433000000.0,MSFT,159450000000.0,7069000000.0,14561000000.0,2020-01-29,7708000000.0,7799000000.0,109416000000.0
